Avg Sales Rank (forecast),Avg Sales Rank (95%CI low),Avg Sales Rank (95%CI high)
continuous,continuous,continuous
,,
4638.68,-301.55,9578.92
4251.46,-2014.51,10517.4
3949.34,-3000.89,10899.6
3713.63,-3621.94,11049.2
3529.72,-4030.8,11090.2
3386.24,-4308,11080.5
3274.29,-4500.22,11048.8
3186.95,-4636.02,11009.9
3118.8,-4733.51,10971.1
3065.64,-4804.49,10935.8
3024.16,-4856.8,10905.1
2991.79,-4895.74,10879.3
