Avg List Price,Avg New Price,Avg Sales Rank,Date
,1089.1125555555557,94.98333333333333,2023-07-01 00:00:00
,1148.9373626373626,78.9010989010989,2023-06-01 00:00:00
,1212.61,84.21,2023-05-01 00:00:00
,1271.19046728972,78.42857142857143,2023-04-01 00:00:00
,1348.6966972477064,723.4196428571429,2023-03-01 00:00:00
,1355.7461445783147,5255.825301204819,2023-02-01 00:00:00
,1416.6666666666667,,2022-12-01 00:00:00
,1443.5914666666665,12832.783783783783,2023-01-01 00:00:00
299,896.6099453551922,26.497267759562842,2023-12-01 00:00:00
299,944.4902617801043,21.528795811518325,2023-11-01 00:00:00
299,953.622865853659,20.73170731707317,2023-10-01 00:00:00
299,991.0073181818176,57.19090909090909,2023-09-01 00:00:00
299,1027.2215196078416,72.36274509803921,2023-08-01 00:00:00
406.0063694267516,880.0514,17.796178343949045,2024-01-01 00:00:00
639,655.4363636363634,1578.1818181818182,2025-06-01 00:00:00
639,676.8621596244121,1445.9814814814815,2025-05-01 00:00:00
649.4170212765957,651.123563829787,1202.537234042553,2025-04-01 00:00:00
750.7010101010101,654.5670202020198,1186.6262626262626,2025-03-01 00:00:00
899,641.051222707424,910.1484716157205,2025-01-01 00:00:00
899,652.0483647798739,13.39622641509434,2024-11-01 00:00:00
899,661.1485340314126,1301.4921465968587,2025-02-01 00:00:00
899,678.8595794392523,30.065116279069766,2024-12-01 00:00:00
899,731.9763500000001,28.74,2024-10-01 00:00:00
899,757.1286432160803,32.21105527638191,2024-09-01 00:00:00
899,774.4273239436619,27.35211267605634,2024-08-01 00:00:00
899,795.6108695652174,36.80978260869565,2024-07-01 00:00:00
899,812.4117142857145,34.26285714285714,2024-04-01 00:00:00
899,841.1378888888881,31.355555555555554,2024-06-01 00:00:00
899,847.0940939597307,27.308724832214764,2024-03-01 00:00:00
899,848.0718181818183,28.385026737967916,2024-05-01 00:00:00
899,885.1024390243898,21.542168674698797,2024-02-01 00:00:00
