Avg Sales Rank (forecast),Avg Sales Rank (95%CI low),Avg Sales Rank (95%CI high)
continuous,continuous,continuous
,,
4574.38,-6406.42,15555.2
4969.03,-10075.6,20013.7
5338.65,-12525.1,23202.4
5684.81,-14327.4,25697
6009.02,-15713.4,27731.4
6312.66,-16806,29431.3
6597.03,-17680.3,30874.3
6863.37,-18386.5,32113.2
7112.81,-18960.3,33185.9
7346.42,-19428,34120.8
7565.22,-19809.5,34940
7770.13,-20120.6,35660.8
