Avg Sales Rank (forecast),Avg Sales Rank (95%CI low),Avg Sales Rank (95%CI high)
continuous,continuous,continuous
,,
1567.52,-1615.64,4750.67
1557.26,-2859.24,5973.75
1547.39,-3760.71,6855.49
1537.9,-4478.45,7554.25
1528.77,-5075.46,8133.01
1520,-5584.87,8624.86
1511.55,-6026.88,9049.99
1503.43,-6414.96,9421.83
1495.62,-6758.7,9749.94
1488.11,-7065.21,10041.4
1480.89,-7340.01,10301.8
1473.94,-7587.45,10535.3
