Avg Sales Rank (forecast),Avg Sales Rank (95%CI low),Avg Sales Rank (95%CI high)
continuous,continuous,continuous
,,
416.964,260.476,573.452
396.151,201.256,591.045
380.7,167.578,593.823
369.23,146.7,591.761
360.715,133.166,588.264
354.394,124.127,584.662
349.702,117.949,581.455
346.219,113.652,578.785
343.633,110.618,576.647
341.713,108.452,574.973
340.288,106.892,573.684
339.23,105.759,572.701
